id_cliente,churned
221300860396,1
221302348370,0
221300339032,0
221302967097,0
221303214646,0
221302393381,0
221301474113,0
221300597938,0
221302004300,0
221301178949,0
221303231365,0
221302567906,0
221300578539,0
221300331158,1
221302000234,0
221300273451,0
221303099877,0
221300569834,0
221303017783,0
221300381078,0
221302991783,1
221301456657,0
221302669956,0
221302256491,1
221300559116,0
221302921861,1
221301218743,0
221300218505,0
221301213623,0
221300499832,0
221300595728,0
221301064850,0
221300662246,0
221302029677,0
221303089222,0
221300305060,0
221302987198,1
221300273424,0
221300829103,0
221300462299,0
221302620680,0
221303280920,0
221301575790,0
221303119358,0
221301223135,0
221300639133,0
221302544108,0
221301758474,0
221301076486,0
221301806917,0
221300397192,0
221301586505,0
221302510441,0
221302640539,0
221300572829,0
221300895658,1
221300353841,0
221300993966,0
221301605428,0
221302410178,0
221302411847,0
221300302059,0
221302381762,0
221303238809,0
221302605419,0
221301910700,0
221302254692,0
221302950769,1
221300089450,0
221301424733,0
221300331904,0
221301911992,1
221303033417,0
221301388591,0
221303086092,0
221300624894,0
221302083431,0
221300894552,0
221303068451,0
221300527679,0
221301790194,0
221302064087,0
221302817917,0
221300779178,0
221300862206,0
221301613434,1
221300102658,0
221301773737,1
221302626037,0
221302496049,0
221300561998,0
221301818807,0
221302278683,1
221302133376,0
221301219792,0
221302484600,0
221302822494,0
221301603642,0
221302747532,0
221303153051,0
221302461467,0
221300418952,0
221300001154,0
221301356242,1
221302671114,0
221301303881,0
221303272648,0
221301565747,0
221301804700,0
221300105559,0
221302969999,1
221300386356,0
221300720348,0
221300436684,0
221302989640,0
221300453044,0
221301783747,0
221301346887,0
221300594686,0
221300586402,1
221301834023,1
221300637291,1
221302161771,0
221300631855,0
221301828391,0
221301032540,1
221301623764,0
221300603672,0
221302808023,0
221300113602,0
221301632278,0
221301419041,0
221300847314,0
221300141808,0
221302475419,0
221302160530,0
221301045149,0
221301046993,0
221301133600,0
221300243815,0
221301684199,0
221303046213,0
221301855274,0
221303255839,0
221302667764,0
221303201452,1
221301969386,0
221302073047,1
221300397243,0
221302342604,0
221300345340,0
221300336931,0
221302369430,0
221300100658,0
221303196845,0
221303250055,0
221300399313,0
221300462222,0
221303112686,1
221302679373,0
221303045894,1
221300188707,0
221300755930,0
221301648026,0
221301358813,0
221300725557,0
221300590126,0
221300169965,0
221302877660,0
221302965795,0
221300982683,0
221302918351,0
221302395991,0
221302243348,0
221300095411,0
221301153614,0
221302122566,0
221300109693,1
221302740576,0
221300631341,0
221302740218,0
221301199967,1
221300900147,0
221303131941,0
221300633821,0
221300510275,0
221300462394,1
221301932081,0
221302867005,0
221302138258,0
221301076534,0
221302119364,0
221302480295,0
221303214542,0
221303160721,0
221300073049,1
221302554569,0
221301235714,0
221301760670,0
221300136738,0
221302533024,1
221302345078,0
221303141482,1
221303050759,1
221300239063,1
221303209038,0
221303130992,0
221301042850,0
221302987890,1
221302428639,0
221302794010,0
221301531366,0
221300892596,0
221302978816,0
221302155869,0
221302158403,0
221302457948,0
221301129654,0
221301817670,0
221300824549,0
221302893622,1
221301188285,0
221300519296,0
221302567726,0
221301299779,0
221300864126,0
